,title,worktype,skill,url,formatted_address,country,latlng
328,CNC Operator,Full-Time,"['Computer Aided Manufacturing', 'Machining', 'Measure Position', 'Operate Cnc Machine', 'Operate Cnc Machinery', 'Operate Numerical Control']",https://www.oilandgasjobsearch.com/job/J3Q6396QWXSC21RYH2Z?ipath=CRJR329,"989 112th Ave NE #205, Bellevue, WA 98004, USA",USA,"{'lat': 47.6191787, 'lng': -122.1916619}"
329,Project Engineer Water en (Duurzame) Energie,Full-Time,['Regeltechniek'],https://www.oilandgasjobsearch.com/job/J3Q6M8738H7T23BN6ZL?ipath=CRJR330,"Utrecht, Netherlands",Netherlands,"{'lat': 52.09073739999999, 'lng': 5.1214201}"
330,Konstrukteur Hydraulik Maschinenbau,Full-Time,"['Hydraulik', 'Druckluft Ventil', 'Berechnungen', 'Inventor']",https://www.oilandgasjobsearch.com/job/J3Q5TY702HQN35R72Z2?ipath=CRJR331,"Erfurt, Germany",Germany,"{'lat': 50.98476789999999, 'lng': 11.02988}"
331,Lead Commercial Manager,Full-Time,"['Commercial Management', 'Management', 'Infrastructure', 'Arabic Language', 'English Language', 'Leadership']",https://www.oilandgasjobsearch.com/job/J3Q3GF6CRYQZSV56M20?ipath=CRJR332,"Cairo, Cairo Governorate, Egypt",Egypt,"{'lat': 30.0444196, 'lng': 31.2357116}"
332,Technisch Directeur,Full-Time,['Documentatie (Procesindustrie)'],https://www.oilandgasjobsearch.com/job/J3Q0GH6ZT0VYQ4D9LN2?ipath=CRJR333,"East Flanders, Belgium",Belgium,"{'lat': 51.0362101, 'lng': 3.7373124}"
333,Absolventen der Informatik für Software-Entwicklung,Full-Time,"['Application Development', 'Use Programming Language', 'Configure System', 'Problem Solving', 'Information Technology', 'Operating Systems']",https://www.oilandgasjobsearch.com/job/J3P04R5Z2QN57B16Z7W?ipath=CRJR334,"Hanover, Germany",Germany,"{'lat': 52.3758916, 'lng': 9.732010400000002}"
334,Substation Lead: Automation & SCADA,Contractor,"['Timelines', 'Project Management', 'Operations', 'Six Sigma Methodology', 'Benchmarking (Project Management)', 'Process Design']",https://www.oilandgasjobsearch.com/job/J3N7MD6VP25RWG9NFZB?ipath=CRJR335,"Westminster, London, UK",UK,"{'lat': 51.4974948, 'lng': -0.1356583}"
335,Lead Mechanic,Full-Time,"['Computerized Maintenance Management Systems', 'Boilers', 'Valves (Piping)', 'Pumps', 'Cogeneration', 'Oil And Gas']",https://www.oilandgasjobsearch.com/job/J3N4056QNFY66SQTNHP?ipath=CRJR336,"Wilmington, DE, USA",USA,"{'lat': 39.744655, 'lng': -75.5483909}"
336,Leiter Planung Photovoltaik (m/w/d),Full-Time,"['Optimierung (Unterricht)', 'Dokumentation (Prozessindustrie)', 'Obst', 'Englisch (Sprachunterricht)', 'Leistungsoptimierung', 'Planung (Ausbildung)']",https://www.oilandgasjobsearch.com/job/J3W6KT6BQL1LHC6G5QQ?ipath=CRJR337,"Ludwigshafen, Germany",Germany,"{'lat': 49.47741, 'lng': 8.445179999999999}"
337,DCS Engineers (GE / Yokogawa / Siemens / Schneider),Contractor,"['Testing', 'Dcs File Format', 'Distributed Control Systems', 'Programmable Logic Controllers', 'Assembling', 'Control Systems']",https://www.oilandgasjobsearch.com/job/J3W508686YXS6T67MM3?ipath=CRJR338,Singapore,Singapore,"{'lat': 1.352083, 'lng': 103.819836}"
338,Ingénieur(e) Construction (H/F),Full-Time,"['Travaux', 'Bac', 'Chantier Naval', 'Formation', 'Ingénierie', 'Projet (Chaudière)']",https://www.oilandgasjobsearch.com/job/J3W4X26S6BZSVN839V1?ipath=CRJR339,"Avignon, France",France,"{'lat': 43.94931700000001, 'lng': 4.805528}"
339,Safety Case Engineer,Full-Time,"['Hazard Identification', 'Engineering', 'Scheduling', 'Event Tree Analysis', 'Risk Analysis', 'Operations']",https://www.oilandgasjobsearch.com/job/J3W1QP5ZKSBPF5M9HNR?ipath=CRJR340,"Didcot OX11, UK",UK,"{'lat': 51.60804400000001, 'lng': -1.24484}"
340,Senior Manager PPA / Senior Manager Power Sales,Full-Time,"['Konkurrenzanalyse', 'Wind Landwirtschaft', 'Referenzkarten', 'Vertical Market', 'C (Programmiersprache)', 'Simulationen']",https://www.oilandgasjobsearch.com/job/J3V40C68FVQN0DHQC9W?ipath=CRJR341,"Hamburg, Germany",Germany,"{'lat': 53.5510846, 'lng': 9.9936819}"
341,2 X Automation Engineer,Contractor,"['Electronics', 'Hardware Interface Design', 'Testing', 'Training', 'Engineering', 'Interface']",https://www.oilandgasjobsearch.com/job/J3T7X664NHWYSWRNRLW?ipath=CRJR342,"295/11 Tambon Thung Suk La, Amphoe Si Racha, Chang Wat Chon Buri 20230, Thailand",Thailand,"{'lat': 13.0825045, 'lng': 100.9323652}"
342,Mechanical Engineer (Mid Level) Energy & Power,Full-Time,"['Autodesk Revit', 'Auto Cad', 'Computer Control Systems', '3 D Modeling', 'Professional Engineer']",https://www.oilandgasjobsearch.com/job/J3T6KL5W7W1L4K535VK?ipath=CRJR343,"Fort Worth, TX, USA",USA,"{'lat': 32.7554883, 'lng': -97.3307658}"
343,Technicien/Couvreur/Poseur PV,Full-Time,"['Station Électrique', 'Client De Messagerie', 'Construire (Game Engine)', 'Chantier Naval', 'Installation', 'Toxicologie']",https://www.oilandgasjobsearch.com/job/J3T13R6H9TD7Q5TSS0L?ipath=CRJR344,"35520 La Mézière, France",France,"{'lat': 48.219363, 'lng': -1.754105}"
344,Chef d'équipe/ Monteur électricité PV (H/F),Full-Time,"['Domaine (Microsoft)', 'Chantier Naval', 'Formation', 'Commande (Patron De Conception)', 'Gestion', 'Matériels']",https://www.oilandgasjobsearch.com/job/J3S3Z86DH42MFT5LY7M?ipath=CRJR345,"Avignon, France",France,"{'lat': 43.94931700000001, 'lng': 4.805528}"
345,Product Marketing Manager,Full-Time,"['Business Development', 'Market Research', 'New Product Development', 'Product Marketing', 'Market Analysis', 'Marketing']",https://www.oilandgasjobsearch.com/job/J3R80W6XCS480SHTPQC?ipath=CRJR346,"North Bergen, NJ, USA",USA,"{'lat': 40.8042674, 'lng': -74.012084}"
346,Chargé(e) d'exploitation solaire (H/F),Full-Time,"['Formation', 'Ménagère', 'Maintenance', 'Client De Messagerie', 'Domaine (Microsoft)', 'Management']",https://www.oilandgasjobsearch.com/job/J3R6JR781ZNSD1WDQYN?ipath=CRJR347,"Strasbourg, France",France,"{'lat': 48.5734053, 'lng': 7.752111299999999}"
347,Office Manager (H/F),Full-Time,"['Suivi (Commercial Airline Flight)', 'Communication De Données', 'Financier', 'Négociation', ""Fournisseur D'accès À Internet"", 'Communications']",https://www.oilandgasjobsearch.com/job/J3R63T772C64P5PC3WG?ipath=CRJR348,"67500 Haguenau, France",France,"{'lat': 48.813288, 'lng': 7.791250000000001}"
348,Sachbearbeiter Lohn- und Gehaltsabrechnung,Full-Time,"['Kreatives Denken', 'Differentialgeometrie', 'Professional Development', 'Stimmen (Akkordeon)', 'Service Orientierte Architektur', 'Work Order']",https://www.oilandgasjobsearch.com/job/J3R3T06H7L5H7HS24JG?ipath=CRJR349,"Wiesbaden, Germany",Germany,"{'lat': 50.0782184, 'lng': 8.239760799999999}"
349,Electrical High Medium and Low Voltage Specialists,Contractor,"['Recruitment', 'Low Voltage', 'High Voltage', 'Manuals', 'Occupational Safety And Health', 'Voltage']",https://www.oilandgasjobsearch.com/job/J3R1X560HGR6LH38616?ipath=CRJR350,Singapore,Singapore,"{'lat': 1.352083, 'lng': 103.819836}"
350,Technicien(-ne) de maintenance PV H/F,Full-Time,"['Personne Qualifiée', 'Bac', 'Évolution (Biologie)', 'Domaine (Microsoft)', 'Onduleur', 'Photovoltaïque']",https://www.oilandgasjobsearch.com/job/J3Q4WR6MTZ0WCMRW7Y4?ipath=CRJR351,"Île-de-France, France",France,"{'lat': 48.8499198, 'lng': 2.6370411}"
351,FP&A - Lead Consultant,Full-Time,"['Financial Analysis', 'Revenues', 'Financial Modeling', 'Budgeting', 'Forecasting', 'Finance']",https://www.oilandgasjobsearch.com/job/J3Q5XF6WVC6BCLVGRX3?ipath=CRJR352,"New York, NY, USA",USA,"{'lat': 40.7127753, 'lng': -74.0059728}"
352,Bereichsleiter Finanzierung und Vertrieb,Full-Time,"['Financial Institution', 'Differentialgeometrie', 'Project Finance', 'Projekt Der Steuerung', 'Englisch (Sprachunterricht)', 'Sprechen']",https://www.oilandgasjobsearch.com/job/J3P8HC72GRNK7R42B5M?ipath=CRJR353,"Wiesbaden, Germany",Germany,"{'lat': 50.0782184, 'lng': 8.239760799999999}"
353,Maritime Sales Manager Germany,Full-Time,['Sales'],https://www.oilandgasjobsearch.com/job/J3P7WM6VC2SKY2J5HYM?ipath=CRJR354,"Hamburg, Germany",Germany,"{'lat': 53.5510846, 'lng': 9.9936819}"
354,Ingénieur(e) Méthodes – Réseaux (H/F),Full-Time,"['Domaine (Microsoft)', 'Ingénierie Électrique', 'Formation', 'Gestion', 'Apprentissage Expérientiel', 'Normes Privilège Et Role Management Infrastructure (Permis)']",https://www.oilandgasjobsearch.com/job/J3P72J6B7LNQYGS581M?ipath=CRJR355,"Avignon, France",France,"{'lat': 43.94931700000001, 'lng': 4.805528}"
355,Project Manager,Full-Time,"['Earned Value Management', 'Scheduling', 'Management', 'Team Working', 'Commercial Awareness', 'Project Management']",https://www.oilandgasjobsearch.com/job/J3V1YY67XQV6LVRSQWX?ipath=CRJR356,"Barnwood, Gloucester, UK",UK,"{'lat': 51.8611689, 'lng': -2.204252}"
356,"People Director – Field Services, Americas",Full-Time,"['Labor Relations', 'Operations', 'Employee Engagement', 'Workforce Development', 'Business Strategies', 'Management']",https://www.oilandgasjobsearch.com/job/J3S2JS6SQ4W0BBZR93H?ipath=CRJR357,"Houston, TX, USA",USA,"{'lat': 29.7604267, 'lng': -95.3698028}"
357,Intermediate Biologist/Environmental Planner,Full-Time,"['Scheduling', 'Microsoft Windows', 'Field Research', 'Project Commissioning', 'Oil And Gas', 'Microsoft Access']",https://www.oilandgasjobsearch.com/job/J3R2LZ6WLK559YVS1WG?ipath=CRJR358,"Edmonton, AB, Canada",Canada,"{'lat': 53.5461245, 'lng': -113.4938229}"
358,Bauleiter,Full-Time,"['Aftersales', 'Architektur', 'Deutsch (Sprachunterricht)', 'Science', 'Berufsausbildung Mit Abitur', 'Vor']",https://www.oilandgasjobsearch.com/job/J3P88465B3GSWNJLGC6?ipath=CRJR359,"Brunswick, Germany",Germany,"{'lat': 52.2688736, 'lng': 10.5267696}"
359,Investment Associate,Full-Time,"['Persuasive Skills', 'Renewable Energy', 'Project Finance', 'Financial Institution', 'C (Programming Language)', 'Financial Modeling']",https://www.oilandgasjobsearch.com/job/J3W54G6T5ZRG3HQ3J8S?ipath=CRJR360,"725 Sukhumvit Rd, Khwaeng Khlong Tan Nuea, Khet Watthana, Krung Thep Maha Nakhon 10110, Thailand",Thailand,"{'lat': 13.7295763, 'lng': 100.5712801}"
360,Inspector - Gas Supply Systems (SEMI),Contractor,"['Commissioning', 'Personal Protective Equipment', 'Material Safety Data Sheet', 'Testing', 'Microsoft Office']",https://www.oilandgasjobsearch.com/job/J3W1YH6XMTH3NZRT4NV?ipath=CRJR361,"Seoul, South Korea",South Korea,"{'lat': 37.566535, 'lng': 126.9779692}"
361,"FD Facilities Engineer - Ahmadi, Kuwait",Contractor,"['Operations', 'Engineering', 'Analysis', 'Commissioning', 'Oil And Gas']",https://www.oilandgasjobsearch.com/job/J3S2W3627MVNLD93LT0?ipath=CRJR362,"Al Asimah Governate, Kuwait",Kuwait,"{'lat': 29.3342457, 'lng': 47.9812152}"
362,Plastic Welding QC Inspector,Contractor,"['Product Quality Assurance', 'Testing', 'Fitting', 'Pipe (Fluid Conveyance)', 'Installations (Manual/Mechanical)', 'Microsoft Office']",https://www.oilandgasjobsearch.com/job/J3S0ZT6Y0DZXH0KVMFF?ipath=CRJR363,"Seoul, South Korea",South Korea,"{'lat': 37.566535, 'lng': 126.9779692}"
363,Bauzeichner,Full-Time,"['Zusammenarbeit', 'Aftersales', 'Computer Aided Design', 'Leistungsoptimierung', 'Tragwerksplaner', 'Erlebnisp� Dagogik']",https://www.oilandgasjobsearch.com/job/J3S11D61ZQLQBHDPKMM?ipath=CRJR364,"North Rhine-Westphalia, Germany",Germany,"{'lat': 51.43323669999999, 'lng': 7.661593799999999}"
364,IT Project Manager,Full-Time,"['Scheduling', 'Analysis', 'Business Process', 'Project Management Life Cycle', 'Information Systems', 'Software Development']",https://www.oilandgasjobsearch.com/job/J3T1K66RZCM1BKNVCMZ?ipath=CRJR365,"The Woodlands, TX, USA",USA,"{'lat': 30.1658207, 'lng': -95.46126249999999}"
365,FP&A - Lead Consultant,Full-Time,"['Financial Analysis', 'Revenues', 'Financial Modeling', 'Budgeting', 'Forecasting', 'Finance']",https://www.oilandgasjobsearch.com/job/J3T07D77CD6WQ6GGY6V?ipath=CRJR366,"New York, NY, USA",USA,"{'lat': 40.7127753, 'lng': -74.0059728}"
366,Senior Electrical Engineer,Full-Time,"['Configuration Management', 'Critical Design Review (Cdr)', 'Test Planning', 'Systems Engineering', 'Technical Documentation', 'Risk Management']",https://www.oilandgasjobsearch.com/job/J3R2XJ651YGVP9WNZLV?ipath=CRJR367,"7981 Georgia St, Hill AFB, UT 84056, USA",USA,"{'lat': 41.10968, 'lng': -111.9826984}"
367,Werkvoorbereider Werktuigbouwkunde Installatietechniek,Full-Time,"['Auto Cad', 'Werktuigbouwkunde', 'Werktuigbouwkunde (Onderwijs Geven)', 'Installatietechniek']",https://www.oilandgasjobsearch.com/job/J3P83X77NP34BHZYDT4?ipath=CRJR368,"Groningen, Netherlands",Netherlands,"{'lat': 53.2193835, 'lng': 6.5665017}"
368,Heliport Scheduler,Full-Time,"['Customer Service', 'Administration', 'Electronic Medical Record', 'Scheduling Appointments', 'Provide Logistical Support', 'Clerical Works']",https://www.oilandgasjobsearch.com/job/J3V7H266NGC7R9F7JX4?ipath=CRJR369,"Doha, Qatar",Qatar,"{'lat': 25.2854473, 'lng': 51.53103979999999}"
369,Structural Supervisor,Contractor,"['Chinese Language', 'Streamlines', 'Fabrication', 'English Language', 'Construction', 'Engineering']",https://www.oilandgasjobsearch.com/job/J3M39663F75WBNJB06S?ipath=CRJR370,"Beijing, China",China,"{'lat': 39.90419989999999, 'lng': 116.4073963}"
370,Drilling Supervisor-Middle East,Full-Time,"['Scheduling', 'Drilling', 'Directional Drilling', 'Workover', 'Operations', 'Engineering']",https://www.oilandgasjobsearch.com/job/J3R37B70566D483PB0R?ipath=CRJR371,"Kuwait City, Kuwait",Kuwait,"{'lat': 29.375859, 'lng': 47.9774052}"
371,Tower Technician II,Full-Time,"['Rigging (Sailing Ship)', 'First Aid', 'Occupational Health And Safety Administration (Osha)', 'Telecommunications']",https://www.oilandgasjobsearch.com/job/J3M6R06YXX9Q664SJ4T?ipath=CRJR372,"Charlotte, NC, USA",USA,"{'lat': 35.2270869, 'lng': -80.8431267}"
372,Rubber Technical Engineer,Full-Time,"['Metrics', 'Bidding', 'Presentations', 'Leverage', 'Working Capital', 'Control Valves']",https://www.oilandgasjobsearch.com/job/J3W7WT6F6SM5MPPFRR2?ipath=CRJR373,"Florham Park, NJ, USA",USA,"{'lat': 40.787878, 'lng': -74.3882072}"
373,Senior CS&A Designer,Full-Time,"['Quality Management', 'Computer Aided Engineering (Cae)', 'Autodesk Revit', 'Design Codes', 'Seismic Analysis', 'Structural Engineering']",https://www.oilandgasjobsearch.com/job/J3W5Q072FMFHL7LL7CJ?ipath=CRJR374,"Moor Row, UK",UK,"{'lat': 54.5157359, 'lng': -3.5367419}"
374,Data & Analytics Application Developer,Full-Time,"['Windows Communication Foundation', 'C Sharp (Programming Language)', 'Entity Framework', 'Ado.Net (Programming Language)', 'Big Data', 'U Sql']",https://www.oilandgasjobsearch.com/job/J3T5S675X5Y2LLKVFT4?ipath=CRJR375,"Houston, TX, USA",USA,"{'lat': 29.7604267, 'lng': -95.3698028}"
375,GPMO Change Management Project Lead,Full-Time,"['Stakeholder Management', 'Process Analysis (Business)', 'Systems Development Life Cycle', 'Project Management Office', 'Project Management', 'Change Management']",https://www.oilandgasjobsearch.com/job/J3S5946ZSFQJP8WT5B0?ipath=CRJR376,"B/206,Hind Saurashtra IND Estate,Marol Naka, Andheri - Kurla Rd, Sai Nagar, Ashok Nagar, Andheri (e, Mumbai, Maharashtra 400059, India",India,"{'lat': 19.1108788, 'lng': 72.8715356}"
376,Technician II - Machinist,Full-Time,"['G Codes', 'Lathes', 'Installations (Manual/Mechanical)', 'Machining', 'Computer Numerical Control (Cnc)', 'Shears']",https://www.oilandgasjobsearch.com/job/J3S35T6SDSGVWRGGXNM?ipath=CRJR377,"Wilson, FL, USA",USA,"{'lat': 28.6433283, 'lng': -80.69643959999999}"
377,Process Engineer,Contractor,"['Communication', 'Manufacturing', 'Cryogenic Grinding', 'Engineering', 'Process Engineering', 'Commissioning']",https://www.oilandgasjobsearch.com/job/J3R7XP6HG21JF41NRMX?ipath=CRJR378,"Houston, TX, USA",USA,"{'lat': 29.7604267, 'lng': -95.3698028}"
378,Business Development Manager/Automation/Sensor,Full-Time,"['Regional Sales', 'Sales', 'Training', 'Consulting', 'Presentations', 'Target Market']",https://www.oilandgasjobsearch.com/job/J3Q5WL6YXQFX6P4KG2C?ipath=CRJR379,"Singapore River, Singapore",Singapore,"{'lat': 1.2895263, 'lng': 103.8397852}"
379,"Technical Manager, LV & MV Products",Full-Time,"['New Product Development', 'Positioning', 'Marketing Strategies', 'Engineering', 'Technical Documentation', 'Marketing']",https://www.oilandgasjobsearch.com/job/J3Q0786PF2ZNBPLW7ZD?ipath=CRJR380,"North Bergen, NJ, USA",USA,"{'lat': 40.8042674, 'lng': -74.012084}"
380,Plant Electrical Engineer,Full-Time,"['Scheduling', 'Operations', 'Management', 'Administration', 'Engineering', 'Employee Performance Management']",https://www.oilandgasjobsearch.com/job/J3Q74968051WF649L5J?ipath=CRJR381,"Lordstown, OH, USA",USA,"{'lat': 41.1656129, 'lng': -80.85758489999999}"
381,FP&A - Lead Consultant,Full-Time,"['Financial Analysis', 'Revenues', 'Financial Modeling', 'Budgeting', 'Forecasting', 'Finance']",https://www.oilandgasjobsearch.com/job/J3M5666S6F92J5N14PV?ipath=CRJR382,"New York, NY, USA",USA,"{'lat': 40.7127753, 'lng': -74.0059728}"
382,Assistant Project Manager,Full-Time,"['General Contractor', 'Construction']",https://www.oilandgasjobsearch.com/job/J3M6RG5Z9ZD6QRJXRN5?ipath=CRJR383,"Los Angeles, CA, USA",USA,"{'lat': 34.0522342, 'lng': -118.2436849}"
383,Civil & Structure Engineer,Contractor,"['Microsoft Office', 'Appointment Scheduling', 'Operations', 'Coordinating', 'Project Coordination', 'Manufacturing']",https://www.oilandgasjobsearch.com/job/J3M6N26QKL65J7PXHG8?ipath=CRJR384,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Malaysia,"{'lat': 3.139003, 'lng': 101.686855}"
384,Site Manager - Tunelling/Civil Works,Contractor,"['Microsoft Office', 'Appointment Scheduling', 'Operations', 'Coordinating', 'Project Coordination', 'Manufacturing']",https://www.oilandgasjobsearch.com/job/J3M46Q6M4X0S9RHJSB5?ipath=CRJR385,"Copenhagen, Denmark",Denmark,"{'lat': 55.6760968, 'lng': 12.5683372}"
385,Construction Manager for onshore project in Finland,Contractor,"['Software Quality Assurance (Sqa)', 'Safety Assurance', 'Product Quality Assurance', 'Software Quality Control', 'Microsoft Access', 'Continous Wave/Waveform']",https://www.oilandgasjobsearch.com/job/J3W7YJ5VSRHPDCX1MQ6?ipath=CRJR386,"Helsinki, Finland",Finland,"{'lat': 60.16985569999999, 'lng': 24.9383791}"
386,Commercial Director,Full-Time,"['Risk Management', 'Audit Planning', 'Administration', 'Negotiation', 'English Language', 'Auditing']",https://www.oilandgasjobsearch.com/job/J3W6906PYTK1WFR7N6M?ipath=CRJR387,"Hanoi, Hoàn Kiếm, Hanoi, Vietnam",Vietnam,"{'lat': 21.0277644, 'lng': 105.8341598}"
387,Structural Engineer,Full-Time,"['Scheduling', 'Submittals (Construction)', 'Civil Engineering', 'Engineering Design Process', 'Subcontracting', 'Structural Engineering']",https://www.oilandgasjobsearch.com/job/J3S7M56FMNHY0MXDPXC?ipath=CRJR388,"Tullahoma, TN, USA",USA,"{'lat': 35.3620235, 'lng': -86.20943419999999}"
388,Project Manager - Digital Energy,Full-Time,"['Management', 'Project Planning', 'Risk Management', 'Project Management', 'Analysis', 'Communication']",https://www.oilandgasjobsearch.com/job/J3S7057773MJ1M5Y0GF?ipath=CRJR389,"Boston, MA, USA",USA,"{'lat': 42.3600825, 'lng': -71.0588801}"
389,Plant Manager,Full-Time,"['Partnerships', 'Asset Management', 'Mathematical Optimization', 'Business Development', 'Auditing', 'Revenues']",https://www.oilandgasjobsearch.com/job/J3S4F96HDDZSGSH14LT?ipath=CRJR390,"44600 Saint-Nazaire, France",France,"{'lat': 47.2734979, 'lng': -2.213848}"
390,Finance Director,Full-Time,"['Internal Controls', 'Financial Forecast', 'Generally Accepted Accounting Principles', 'Forecasting', 'Association Of Chartered Certified Accountants', 'International Financial Reporting Standards']",https://www.oilandgasjobsearch.com/job/J3R2666RQVG036CZQQR?ipath=CRJR391,"Doha, Qatar",Qatar,"{'lat': 25.2854473, 'lng': 51.53103979999999}"
391,Senior Project Manager (Engineering and Commissioning Services),Full-Time,"['Scheduling', 'Architecture', 'Engineering', 'Testing', 'Health Care', 'Project Management']",https://www.oilandgasjobsearch.com/job/J3R0WH6C33QS2HM6YD4?ipath=CRJR392,"Chicago, IL, USA",USA,"{'lat': 41.8781136, 'lng': -87.6297982}"
392,SCADA Expert,Full-Time,"['Network Engineering', 'Automation', 'Control Engineering', 'Programmable Logic Controllers', 'German Language', 'Information Technology']",https://www.oilandgasjobsearch.com/job/J3P4DX6LR40XG8DYZRG?ipath=CRJR393,"Hamburg, Germany",Germany,"{'lat': 53.5510846, 'lng': 9.9936819}"
393,FP&A - Lead Consultant,Full-Time,"['Financial Analysis', 'Revenues', 'Financial Modeling', 'Budgeting', 'Forecasting', 'Finance']",https://www.oilandgasjobsearch.com/job/J3N10G6ZW56WBF4QDPV?ipath=CRJR394,"New York, NY, USA",USA,"{'lat': 40.7127753, 'lng': -74.0059728}"
394,Project Engineer,Full-Time,"['Computer Security', 'Electronics', 'Electrical Systems', 'Leadership', 'Installations (Manual/Mechanical)', 'Installations (Computer Systems)']",https://www.oilandgasjobsearch.com/job/J3N7VT61XW1W5X6DHKH?ipath=CRJR395,"8414 W 13th St N #160, Wichita, KS 67212, USA",USA,"{'lat': 37.7103569, 'lng': -97.4405735}"
395,Heavy Machine Crane Operator,Contractor,"['Forklift Truck', 'Production Line', 'Aerial Work Platforms', 'Palletizing', 'Lifting', 'Propane']",https://www.oilandgasjobsearch.com/job/J3V5GM6YXX2445Q5DY8?ipath=CRJR396,Abu Dhabi - United Arab Emirates,UAE,"{'lat': 24.453884, 'lng': 54.3773438}"
396,Survey Technician,Full-Time,"['Total Station', 'Data Collection']",https://www.oilandgasjobsearch.com/job/J3T8HM6RL19BXLG5BBV?ipath=CRJR397,"Yakima, WA, USA",USA,"{'lat': 46.6020711, 'lng': -120.5058987}"
397,Systems Engineer – Energy Conversion System,Full-Time,"['Engineering', 'Systems Engineering', 'Integration', 'Architecture', 'Testing', 'Scheduling']",https://www.oilandgasjobsearch.com/job/J3S11K66C78YVW66G95?ipath=CRJR398,"Houston, TX, USA",USA,"{'lat': 29.7604267, 'lng': -95.3698028}"
398,Adviseur bodemonderzoek,Full-Time,['Frans (Taalonderricht)'],https://www.oilandgasjobsearch.com/job/J3N2KY6PHD67LKQSVV2?ipath=CRJR399,"East Flanders, Belgium",Belgium,"{'lat': 51.0362101, 'lng': 3.7373124}"
399,Asset Support Engineer,Full-Time,"['Documentation', 'Chemical Process', 'Scale (Map)', 'Training', 'Engineering', 'Technical Services']",https://www.oilandgasjobsearch.com/job/J3M67F6G06TT6L3LTCC?ipath=CRJR400,"Antwerp, Belgium",Belgium,"{'lat': 51.2194475, 'lng': 4.4024643}"
400,ROV Supervisor,Contractor,"['Basic Offshore Safety Induction And Emergency Training (Bosiet)', 'Medical Certificate']",https://www.oilandgasjobsearch.com/job/J3M1TM6JLTCF42DRR6N?ipath=CRJR401,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",Malaysia,"{'lat': 3.139003, 'lng': 101.686855}"
401,Systems and Instrumentation Service Engineer,Contractor,"['Installations (Manual/Mechanical)', 'Complex Problem Solving', 'Customer Service', 'Maintenance', 'Sales', 'Instrumentation']",https://www.oilandgasjobsearch.com/job/J3P6XV6ZRVWMXBND04L?ipath=CRJR402,"Jeollabuk-do, South Korea",South Korea,"{'lat': 35.71750000000001, 'lng': 127.153}"
402,Blast Hole Driller,Full-Time,"['Passionate', 'Operations', 'Hammer (File System)', 'Dry Powder Inhalers', 'Direct Programming Interface']",https://www.oilandgasjobsearch.com/job/J3S6416BGJLQ5YX6CZ0?ipath=CRJR403,"Western Australia, Australia",Australia,"{'lat': -27.6728168, 'lng': 121.6283098}"
403,Bouwkundig Projectleider,Full-Time,['Leiding (Multimediaontwikkelingsprogramma)'],https://www.oilandgasjobsearch.com/job/J3S5LB66QDY00M2TVSJ?ipath=CRJR404,"Groningen, Netherlands",Netherlands,"{'lat': 53.2193835, 'lng': 6.5665017}"
404,Heavy Duty (HD) Fitter,Full-Time,"['Passionate', 'Operations', 'Complex Problem Solving', 'Machinery', 'Open Pit Mining']",https://www.oilandgasjobsearch.com/job/J3S3JX61VG6XJC58WS8?ipath=CRJR405,"Western Australia, Australia",Australia,"{'lat': -27.6728168, 'lng': 121.6283098}"
405,Driller,Full-Time,"['Hammer (File System)', 'Installations (Manual/Mechanical)', 'Installations (Computer Systems)', 'Human Resources', 'Drilling', 'Ansys Meshing']",https://www.oilandgasjobsearch.com/job/J3S0TJ63NF9979MKHDL?ipath=CRJR406,"Western Australia, Australia",Australia,"{'lat': -27.6728168, 'lng': 121.6283098}"
406,Dump Truck Operator,Full-Time,"['Passionate', 'Operations']",https://www.oilandgasjobsearch.com/job/J3R4H4609ZGZKRC90PH?ipath=CRJR407,"Western Australia, Australia",Australia,"{'lat': -27.6728168, 'lng': 121.6283098}"
407,Materialplaner,Full-Time,"['Microsoft Office', 'Order Management Systeme']",https://www.oilandgasjobsearch.com/job/J3R2NB6TN7ZB8J1VY7Q?ipath=CRJR408,"Brunswick, Germany",Germany,"{'lat': 52.2688736, 'lng': 10.5267696}"
408,Supporter Helpdesk,Full-Time,"['Server (Installation Und Wartung)', 'Local Area Networks', 'Zeichnen (Unterricht)', 'Microsoft Web Matrix', 'Netzwerke (��Berwachung)', 'Unified Communications']",https://www.oilandgasjobsearch.com/job/J3Q89W6ZHHZLCR8T8MG?ipath=CRJR409,"Brunswick, Germany",Germany,"{'lat': 52.2688736, 'lng': 10.5267696}"
409,Maschinenbauingenieur,Full-Time,"['Studium', 'Mechanischer Musikautomat', 'Zeichnen (Unterricht)', 'Konstruktion (Funktechnik)', 'Mechatronik', 'Computer Aided Design']",https://www.oilandgasjobsearch.com/job/J3Q54T6SLVDXXJGWCXK?ipath=CRJR410,"Brunswick, Germany",Germany,"{'lat': 52.2688736, 'lng': 10.5267696}"
410,Projectingenieur Bouw,Full-Time,"['Planning', 'Draaien (Cnc)', 'Draaien (Conventionele Machine)']",https://www.oilandgasjobsearch.com/job/J3P4QL6N45Y60HVNC8J?ipath=CRJR411,"Antwerp, Belgium",Belgium,"{'lat': 51.2194475, 'lng': 4.4024643}"
