,title,employer,location,worktype,skill
824,Technico-commercial en automatisme (GTB - GTC) F/H,OILANDGAS,"Ermont, Île-de-France",Full-Time,"['Suivi (Commercial Airline Flight)', 'Apprentissage Expérientiel', 'Client De Messagerie', 'Personne Qualifiée', 'Offre Publique', 'Domaine (Microsoft)']"
825,Responsable Développement commercial - secteur : Laboratoires F/,OILANDGAS,"Ermont, Île-de-France",Full-Time,"['Marchandage', 'Commerce', 'Prospection (Minerais)', 'Ventes', 'Client De Messagerie', 'Construire (Game Engine)']"
826,"Technical Analyst, Distribution Center Systems (Manufacturing)",OILANDGAS,"Olive Branch, Mississippi",Full-Time,"['Transportation Management Systems', 'Warehouse Management Systems', 'Distribution (Business)', 'Manufacturing', 'Warehouse Management System', 'Operations']"
827,"Un(e) Electricien(ne) Eclairage, SLT, Vidéoprotection F/H",OILANDGAS,Grand-Est-France,Full-Time,"['Chantier Naval', 'Cap (Navigation)', 'Pose (Peinture/Sculpture)', 'Baccalauréat Professionnel', 'Normes Privilège Et Role Management Infrastructure (Permis)', 'Manutention']"
828,Field Engineer,OILANDGAS,"Riverside, California",Full-Time,"['Computer Control Systems', 'Installations (Computer Systems)', 'Circuit Switches', 'Maintenance', 'Commissioning', 'Authorization (Computing)']"
829,Senior Financial Analyst,OILANDGAS,"West Coast Village, Singapore",Full-Time,"['Business Intelligence', 'Forecasting', 'Coordinating', 'Oracle Hyperion Financial Management', 'Microsoft Excel', 'Oracle Hyperion']"
830,Human Resources Manager,OILANDGAS,"Sidney, Ohio",Full-Time,"['Business Administration', 'Presentations', 'Management', 'Scheduling', 'Information Systems', 'Creativity']"
831,PCB Design Engineer,OILANDGAS,"Pasig, Rizal",Full-Time,"['Printed Circuit Boards Design', 'Printed Circuit Board', 'Decision Making', 'Success Driven', 'High Density Lipoprotein (Lipid Disorders)', 'Communication']"
832,Technicien de maintenance posté F/H,OILANDGAS,"Bourges, Centre",Full-Time,"['Formation', 'Chauffage Et Refroidissement', 'Fiabilité', 'Qualité (Business)', 'Ventilation', 'Autosuffisance']"
833,Projectleider Grote Infrastructuurwerken,OILANDGAS,"Antwerpen, Antwerp",Full-Time,"['Planning', 'Leiding (Multimediaontwikkelingsprogramma)']"
834,(Teil-)Projektleiter Service Plattform,OILANDGAS,Berlin,Full-Time,"['Projekt Der Steuerung', 'Interner Zinsfu��', 'Projektstrukturplan', 'Transcoding', 'Architektur', 'Planung (Ausbildung)']"
835,Calculator Bouw,OILANDGAS,"Antwerpen, Antwerp",Full-Time,['Kwaliteit (Verantwoordelijk Voor)']
836,Cost Engineer,OILANDGAS,"Santiago, Santiago Metropolitan Region",Full-Time,"['Scheduling', 'Resource Loading', 'Documentation', 'Construction Management', 'Operations', 'Installations (Manual/Mechanical)']"
837,BUSINESS SYSTEMS ANALYST,OILANDGAS,"Doha, Doha",Contractor,"['Purchasing', 'Supply Chain Management', 'Systems Analysis', 'Analysis', 'Computer Sciences']"
838,Environmental Specialist,OILANDGAS,"Doha, Doha",Full-Time,"['Interpersonal Skills', 'Environmental Management Systems', 'Environmental Laws', 'Engineering', 'Sustainability', 'Regulatory Requirements']"
839,"Safety Specialist - Freeport, Texas",OILANDGAS,Texas,Full-Time,"['Emergency Handling', 'Scheduling', 'Incident Command Systems', 'Confined Spaces', 'First Aid', 'Emergency Services']"
840,"Safety Specialist - Plaquemine, Louisiana (Terminals)",The Highfield Recruitment Company Ltd,Louisiana,Full-Time,"['Scheduling', 'Emergency Handling', 'Incident Command Systems', 'Confined Spaces', 'First Aid', 'Emergency Services']"
841,"Safety Specialist - St. Charles, Louisiana (Terminals)",The Highfield Recruitment Company Ltd,Louisiana,Full-Time,"['Scheduling', 'Confined Spaces', 'First Aid', 'Emergency Services', 'Safety Training', 'Automated External Defibrillator']"
842,"Safety Specialist - Freeport, Texas (Terminals)",The Highfield Recruitment Company Ltd,Freeport,Full-Time,"['Scheduling', 'Confined Spaces', 'Emergency Handling', 'Incident Command Systems', 'First Aid', 'Emergency Services']"
843,DCS PCS7 Engineer,München,Contractor,,"['Leadership', 'Library', 'Oil Painting', 'Oil And Gas', 'Dcs File Format', 'Distributed Control Systems']"
844,GIS Specialist - Geographic Information System Mapping,OILANDGAS,Lukang,Contractor,"['Arc Gis (Gis Software)', 'Geographic Information Systems', 'Construction', 'Construction Management', 'Earth Sciences', 'Installations (Manual/Mechanical)']"
845,Support engineer for mooring,Naurex Group,Paris,Full-Time,"['Subcontracting', 'Communication', 'Constructability', 'Contingency Plan', 'Procurement', 'Operations']"
846,ATLAS PhD Grant 2020,CERN,Geneva,Contractor,"['French Languages', 'English Language']"
847,Senior Project Planner,OILANDGAS,"London, Gentofte, Skærbæk",Full-Time,"['Project Planning', 'Straightforward', 'Scheduling', 'Risk Management', 'Resource Planning', 'Decision Making']"
848,QA Engineer,OILANDGAS,"Warrington, Cheshire",Full-Time,"['Product Quality Assurance', 'Documentation', 'Leadership', 'Coaching And Mentoring', 'Mentorship', 'Communication']"
849,Quality Manager,OILANDGAS,"Gloucester, United Kingdom Countrywide",Full-Time,"['Quality Strategy', 'Documentation', 'Iso 14000', 'Internal Auditing', 'Product Quality Assurance', 'Quality Assurance']"
850,Associate (Social Development),OILANDGAS,"London, Brighton or Birmingham",Full-Time,"['Community Development', 'Quantitative Research', 'Focus Group', 'Analysis', 'Research', 'Reports']"
851,Sr. Stabiliteitsingenieur,OILANDGAS,Oost-Vlaanderen,Full-Time,"['C Sharp (Programming Language)', '.Net Framework', 'Vbscript (Visual Basic Scripting Edition)', 'Java (Programming Language)', 'Visual Basic .Net (Programming Language)', 'Microsoft Sql Servers']"
852,Sales Manager in der chemischen Industrie,OILANDGAS,"Regensburg, Bayern",Full-Time,"['Interkulturelle Kompetenz', 'Aftersales', 'Vertrieb', 'Chemieingenieurwesen', 'Distributoren', 'Leistungsoptimierung']"
853,Contract Specialist - Invoice Attestation,OILANDGAS,"Saskatoon, Saskatoon (Div. 11), Saskatchewan",Full-Time,"['Presentations', 'Reports', 'Self Motivation', 'Analytical', 'Program Scope', 'Decision Making']"
854,Batch1 Topside Contracts Engineer,OILANDGAS,Doha,Full-Time,"['Storage (Warehousing)', 'Scheduling', 'Laws', 'Industry Practices', 'Oil And Gas', 'Instructions']"
855,Field Engineer,OILANDGAS,"Dubai, Dubay",Full-Time,"['Scheduling', 'Construction Management', 'Construction', 'Subcontracting', 'Operations', 'Engineering']"
856,Werfleider Residentiële Projecten,OILANDGAS,Mechelen Antwerpen,Full-Time,['Planning']
857,Junior Planner - Steel Cutting,OILANDGAS,"Vancouver, Greater Vancouver, British Columbia",Full-Time,"['Scheduling', 'Warehousing', 'Interpersonal Skills', 'Communication', 'Material Requirements Planning', 'Engineering']"
858,Sales Engineer,OILANDGAS,"Samara, Samara Region",Full-Time,"['Sales Engineering', 'Technical Sales', 'Unified Communications', 'Web Hosting Services', 'Commercialization', 'Direct Selling']"
859,Concentrator Contract Superintendent VP1,OILANDGAS,"Iquique, Tarapacá",Full-Time,"['Scheduling', 'Subcontracting', 'Construction Management', 'Information Security', 'Operations', 'Construction Engineering']"
860,Field Service Engineer Marine,OILANDGAS,"Ede, Gelderland",Full-Time,"['Field Service Management', 'Electronics', 'Creativity', 'Engineering', 'Computers', 'Project Commissioning']"
861,Sales Manager in der petrochemischen Industrie,OILANDGAS,"Regensburg, Bayern",Full-Time,"['Interkulturelle Kompetenz', 'Aftersales', 'Vertrieb', 'Chemieingenieurwesen', 'Distributoren', 'Leistungsoptimierung']"
862,Co-op - Testing & Project Engineering - Multiple Positions (Fall,OILANDGAS,"Sidney, Ohio",Full-Time,"['Mechanical Engineering', 'Thermodynamics', 'Engineering', 'Career Development', 'Machinery Design', 'Leadership']"
863,Purchasing & Planning Administrator (m/f/d),OILANDGAS,", England",Full-Time,"['Self Motivation', 'Attention To Detail', 'Social Skills', 'Coordinating', 'Material Requirements Planning', 'Subcontracting']"
864,Material Specialist - 2nd shift,OILANDGAS,"Elk River, Minnesota",Full-Time,"['Storage (Warehousing)', 'Positive Attitude', 'Authorization (Medical)', 'Instructions', 'Operations', 'Management']"
865,Business Development Manager - Reliability Solutions,OILANDGAS,"Sorocaba, São Paulo",Full-Time,"['Direct Selling', 'Market Research', 'Pricing Strategies', 'Pulp (Tooth)', 'Petrochemical', 'Presentations']"
866,Inside Sales Engineer,OILANDGAS,"Aberdeen, Aberdeen City",Full-Time,"['Microsoft Access', 'Creativity', 'Success Driven', 'Self Motivation', 'Microsoft Power Point', 'Microsoft Office']"
867,Sr Manufacturing Engineer (Hermetic Motor),OILANDGAS,"Reynosa, Tamaulipas",Full-Time,"['Spanish Language', 'Manufacturing', 'Scheduling', 'Multilingualism', 'English Language', 'Engineering']"
868,Material Specialist - 2nd shift,OILANDGAS,"Elk River, Minnesota",Full-Time,"['Storage (Warehousing)', 'Positive Attitude', 'Authorization (Medical)', 'Instructions', 'Operations', 'Management']"
869,Entry Automation Control Systems Engineer,OILANDGAS,"St. Louis, Missouri",Full-Time,"['Pharmaceuticals', 'Engineering', 'Control Systems', 'Refining', 'Petrochemical', 'Biomedical Engineering']"
870,Service Technician MEAS/RSMT,OILANDGAS,"Buenos Aires, Ciudad de Buenos Aires",Full-Time,"['Resolución De Problemas', 'Tecnologías (Enseñanza)', 'Asesoramiento Técnico', 'Inglés (Enseñanza)']"
871,Security Supervisor,OILANDGAS,"St. Louis, Missouri",Full-Time,"['Emergency Handling', 'Client Rapport', 'Communication', 'Automated External Defibrillator', 'Cardiopulmonary Resuscitation', 'First Aid']"
872,Product Planner,OILANDGAS,"St. Louis, Missouri",Full-Time,"['Lean Project Management', 'Decision Making', 'Requirement Prioritization', 'Management', 'Multitasking', 'Scheduling']"
873,Advanced Manufacturing Engineer,OILANDGAS,"Ciudad Juárez, Chihuahua",Full-Time,"['Manufacturing Engineering', 'Overall Equipment Effectiveness', 'Lean Manufacturing', 'Tooling', 'Design For Manufacturability (Industrial Design)', 'Statistical Process Controls']"
874,Ingenieur / Techniker EMSR-Technik,OILANDGAS,Nordrhein-Westfalen,Full-Time,"['Dokumentation (Prozessindustrie)', 'Steuer Theorien', 'Maschinenbau', 'Certified Verband Vorstands', 'Computer Aided Design', 'Erlebnisp� Dagogik']"
875,Projektleiter Gebäude-/Versorungstechnik (TGA),OILANDGAS,Nordrhein-Westfalen,Full-Time,"['Zusammenarbeit', 'Aftersales', 'Auftragsbearbeitung', 'Softwares', 'Disziplinen Im E Sport', 'Versorgungstechnik']"
876,Senior Software Developer,OILANDGAS,"Austin, Texas",Full-Time,"['C Sharp (Programming Language)', 'Authorization (Computing)', 'User Story', 'Scrum (Software Development)', 'Agile Software Development', 'Engineering']"
877,Qualitätsmanager IT,OILANDGAS,"Augsburg, Bayern",Full-Time,"['Erwachsenenbildung', 'Toll', 'Berufsausbildung Mit Abitur', 'Erlebnisp� Dagogik', 'Zertifikat Deutsch', 'Studium']"
878,Package Manager (Procurement),OILANDGAS,Kuala Lumpur,Full-Time,['Floating Production Storage And Offloading']
879,Big Data Solution Architect,OILANDGAS,"Calgary, Calgary (Div. 6), Alberta",Full-Time,"['Big Data', 'Data Modeling', 'Real Time Data', 'Data Mining', 'Data Warehousing', 'Meta Data Management']"
880,Tow Master,Atlas Professionals,Taiwan,Full-Time,"['Mandarin (Language)', 'Hokkien Dialects', 'Operations']"
881,Offshore wind power turbine specialist 洋上風力タービンスペシャリスト,OILANDGAS,"Tokyo, Tokyo",Full-Time,"['Manufacturing', 'Engineering', 'Risk Analysis', 'Turbines', 'Leadership', 'Packages (Software)']"
882,Technicien bureau d'études CVC - Orléans - CDI F/H,OILANDGAS,"Orléans, Centre",Full-Time,"['Domaine (Microsoft)', 'Génie Climatique', 'Mission', 'Gestion Des Dossiers', 'Autosuffisance', 'Station Électrique']"
883,Project Manager,Spencer Ogden - Singapore,"Hanoi, Thái Nguyên",Full-Time,"['Phase (Waves)', 'Feasibility Studies', 'Solar Energy', 'Construction', 'Design Review']"
884,ERP Business Analyst,OILANDGAS,"Cluj-Napoca, Cluj",Full-Time,"['Distribution (Business)', 'Warehousing', 'Purchasing', 'Economics', 'Sql (Programming Language)', 'Manufacturing']"
885,Technicien désenfumage F/H,OILANDGAS,Occitanie-France,Full-Time,"['Client De Messagerie', 'Autosuffisance', 'Formation', 'Station Électrique', 'Internet', 'Base De Connaissances']"
886,Responsable Administratif d'Entreprise F/H,OILANDGAS,route de Sartrouville Le Pecq,Full-Time,"['Entreprise', 'Vérification Des Comptes', 'Suivi (Commercial Airline Flight)', 'Formation', ""Direction (Production D'Émission De Radio)"", 'Gestion']"
887,Brandertechnieker - Brussel F/H,OILANDGAS,"Brussels, Brussels",Full-Time,"['Planning', 'Onderhoud (Schilderwerk)']"
888,Stagiaire/alternant Assistant responsable d'affaires F/H,OILANDGAS,Nouvelle-Aquitaine-France,Full-Time,"['Phase (Waves)', 'Suivi (Commercial Airline Flight)', 'Client De Messagerie', 'Entreprise', 'Personne Qualifiée', 'Management']"
889,MECHANICAL QC INSPECTOR,Spencer Ogden - Singapore,"Qingdao, Shandong",Contractor,"['Installations (Manual/Mechanical)', 'Testing', 'Construction', 'Maintenance']"
890,Technician,Spencer Ogden - Singapore,"Singapore, Singapore",Contractor,"['Communication', 'Data Logging', 'Water Quality', 'Analysis', 'Housekeeping']"
891,Technicien(ne) d'affaires Infrastructures réseaux Electriques F/,OILANDGAS,230 avenue des Pyrénées 31600 MURET,Full-Time,"['Chantier Naval', 'Travaux', 'Qualité (Business)', 'Bac', 'Formation', 'Brevet De Technicien Supérieur']"
892,Mechanical Field Service Engineer - Steam Turbine (Thailand),Spencer Ogden - Singapore,Khlong Tan Nuea,Contractor,"['Word Formation', 'Reports', 'Microsoft Access', 'Mechanical Engineering', 'English Language', 'Microsoft Word']"
893,Advanced designer,OILANDGAS,"Luce, Centre-Val de Loire",Full-Time,"['Creativity', 'English Language', 'French Languages', 'Computer Aided Design', 'Ptc Creo Elements/Pro', 'Testing']"
894,Electricity Markets Expert Consultant,Spencer Ogden - UK,"London, Westminster",Full-Time,"['Operations', 'Engineering', 'Storage (Warehousing)']"
895,STAGE INGENIEUR (E) D'AFFAIRES F/H,OILANDGAS,Nouvelle-Aquitaine-France,Full-Time,"['Travaux', 'Chantier Naval', 'Domaine (Microsoft)', 'Gestion', 'Internat', 'Esprit (Logiciel De Sauvegarde)']"
896,STAGE INGENIEUR D'AFFAIRES MAINTENANCE ET TRAVAUX F/H F/H,OILANDGAS,Kansas City,Full-Time,"['Chantier Naval', 'Projet (Chaudière)', 'Domaine (Microsoft)', 'Gestion', 'Qualité (Business)', 'Internat']"
897,Auditeur.rice technique de sécurité - Red teamer / Pentester F/H,OILANDGAS,"Saint-Cloud, Île-de-France",Full-Time,"['Formation', 'Travail', 'Autosuffisance', 'Bac', 'Source (Game Engine)', 'Microsoft Windows']"
898,Power & Utilities Regulatory Finance Expert,Spencer Ogden - UK,"London, Westminster",Full-Time,"['Cost Of Capital', 'English Language', 'Oil And Gas', 'Business Development', 'Tariff', 'Electricity']"
899,Site Manager - Tunelling/Civil Works,Spencer Ogden - UK,København,Contractor,"['Microsoft Office', 'Appointment Scheduling', 'Operations', 'Coordinating', 'Project Coordination', 'Manufacturing']"
900,Business Development Manager/Automation/Sensor,Spencer Ogden - Singapore,Singapore River,Full-Time,"['Regional Sales', 'Sales', 'Training', 'Consulting', 'Presentations', 'Target Market']"
901,Director of Product Management - Building Solutions,OILANDGAS,"Kennesaw, Georgia",Full-Time,"['Business To Consumer', 'Business To Business', 'Management', 'Leadership', 'Sales', 'Value Proposition']"
902,Principal project manager - ports and harbors,OILANDGAS,"Portland, Oregon",Full-Time,"['Presentations', 'Navigation', 'Scheduling', 'Technical Writings', 'Communication', 'Management']"
903,Mechanical Inspector,Spencer Ogden - Singapore,Beijing,Contractor,['Mechanical Engineering']
904,DevOps Engineer,OILANDGAS,"Austin, Texas",Full-Time,"['Jenkins', 'Microsoft Azure', 'Kubernetes', 'Docker', 'Team Foundation Server', 'Git']"
905,District Sales Manager- Industrial Refrigeration,OILANDGAS,Washington,Full-Time,"['Sales', 'Marketing', 'Business Development', 'Operations', 'Sales Management', 'Management']"
906,Assembler A,OILANDGAS,"Lexington, Kentucky",Full-Time,"['Assembling', 'Coordinating', 'Self Motivation', 'Valves (Piping)', 'Packing']"
907,Cost Controller,OILANDGAS,"Cluj-Napoca, Cluj",Full-Time,"['Accruals', 'Finance', 'Accounting', 'Balance Sheet', 'Inventory Valuation', 'Generally Accepted Accounting Principles']"
908,Master Data Specialist,OILANDGAS,"Lodz, Lodz Province",Full-Time,"['Zarządzanie (Uprawy Rolnicze)', 'Współpraca']"
909,Principal Safety Case Engineer,OILANDGAS,"Bristol, Bristol",Full-Time,"['Flexible Working', 'Nuclear Safety', 'Hazard And Operability Study', 'Inclusion', 'Recruitment', 'Nuclear Power']"
910,Senior Tax Analyst,OILANDGAS,"St. Louis, Missouri",Full-Time,"['Depreciation', 'Tax Return', 'Taxation', 'Accounting', 'Fixed Asset', 'Auditing']"
911,Electrical Advisory Engineer,OILANDGAS,"Brighton, Brighton and Hove",Full-Time,"['Infrastructure', 'Engineering', 'Asset Management', 'Management', 'Electrical Engineering']"
912,Sales Engineer,OILANDGAS,"Shanghai, Shanghai",Full-Time,"['Technical Support', 'Revenues', 'Market Intelligence', 'Marketing Strategies', 'Market Development', 'Original Equipment Manufacturer']"
913,Area Sales Engineer Instrumentation,OILANDGAS,"Budapest, Budapest",Full-Time,"['Creativity', 'Market Trend', 'Passionate', 'Team Working', 'Self Motivation', 'Sales Engineering']"
914,Specialist 2 Social Marketing Analytics,OILANDGAS,"Quezon City, Metropolitan Manila",Full-Time,"['Google Analytics', 'Social Media Marketing', 'Social Marketing', 'Analytics', 'Campaigns', 'Dashboard']"
915,Offshore wind power structural engineer 洋上風力　構造エンジニア,OILANDGAS,"Tokyo, Tokyo",Full-Time,"['Structural Engineering', 'Risk Analysis', 'Installations (Manual/Mechanical)', 'Renewable Energy', 'Structural Systems', 'Engineering']"
916,User Experience Intern (Undergrad Students Only),OILANDGAS,"St. Louis, Missouri",Full-Time,"['User Feedback', 'Websites', 'Web Content', 'Adobe Creative Cloud', 'Visual Communications', 'Articles']"
917,"Subject Matter Experts I, II and III",OILANDGAS,Washington,Full-Time,"['Creativity', 'Top Secret (Ts Clearance)', 'Research', 'Driving', 'Information Security']"
918,Senior Engineer – Geotechnical,OILANDGAS,"Doha, Doha",Full-Time,"['Geotechnical Engineering', 'Ethics', 'Critical Thinking', 'Interpersonal Skills', 'Civil Engineering', 'Soil Mechanics']"
919,Product Development Actuator Platforms Engineer Magnet Field Sen,OILANDGAS,"Eger, Heves",Full-Time,"['Testing', 'Verification', 'Computer Aided Design', 'Project Management', 'Product Data Management', '3 D Modeling']"
920,Régleur Instrumentiste en milieu nucléaire F/H,OILANDGAS,Auvergne-Rhône-Alpes-France,Full-Time,"['Brevet De Technicien Supérieur', 'Bac', 'Électricité', 'Chantier Naval', 'Qualité (Business)', 'Formation']"
921,REQUEST MANAGER PRODUCT,OILANDGAS,"Eger, Heves",Full-Time,"['Self Motivation', 'Creativity', 'Engineering', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft Power Point']"
922,Manufacturing Engineer (Hermetic Motors),OILANDGAS,"Reynosa, Tamaulipas",Full-Time,"['Cost Reduction', 'Tooling', 'Spanish Language', 'Motors', 'Production Line', 'Friendliness']"
923,Technicien réseaux téléphonie - Alternance F/H,OILANDGAS,Île-de-France-Region-France,Full-Time,"['Électronique', 'Travaux', 'Brevet De Technicien Supérieur', 'Ménagère', 'Client De Messagerie', 'Sites']"
924,Monteur électricien F/H,OILANDGAS,Pays-de-la-Loire-Region-France,Full-Time,"['Apprentissage Expérientiel', 'Génie Électrique', 'Électrotechnique', 'Câble', 'Formation', 'Issu']"
925,Product Development Actuator Platforms Engineer,OILANDGAS,"Eger, Heves",Full-Time,"['Engineering', 'Testing', 'Mechanical Engineering', 'Project Management', 'Management', 'Product Data Management']"
926,Internal Auditor (Pipeline Requisition),OILANDGAS,"Quezon City, Metropolitan Manila",Full-Time,"['International Financial Reporting Standards', 'Generally Accepted Accounting Principles', 'Auditing', 'Internal Controls', 'Balance Sheet', 'Process Improvements (Business)']"
927,Lifecycle Services Field Engineer,OILANDGAS,"Rungis, Île-de-France",Full-Time,"['Autosuffisance', 'Gestion De La Relation Client', 'Station Électrique', 'Brevet De Technicien Supérieur', 'Ménagère', 'Qualité (Business)']"
928,Buyer (Pipeline Requisition),OILANDGAS,"Quezon City, Metropolitan Manila",Full-Time,"['Procurement', 'Scheduling', 'Data Analysis', 'Reports', 'Purchasing', 'Engineering']"
929,Engineer - Product Design,OILANDGAS,"Pune, Maharashtra",Full-Time,"['Machining', 'Molding', 'Casting', 'Plastic Materials', 'Tolerance', 'Anodizing']"
930,Automated Systems Technician-Level 5 (3rd Shift),OILANDGAS,"Racine, Wisconsin",Full-Time,"['Pneumatics', 'Robotics', 'Hydraulics', 'Programmable Logic Controllers', 'Mechanics', 'Electronics']"
931,Manufacturing Material Handler,OILANDGAS,"Reno, Nevada",Full-Time,"['Palletizing', 'Forklift Truck', 'Authorization (Medical)']"
932,Gas Turbine Controls Engineer,OILANDGAS,"Clifton Park, New York",Full-Time,"['Team Working', 'Self Motivation', 'Software Development', 'Lo N Ox Burner', 'Software Design', 'Scheduling']"
933,Technicien de maintenance F/H,OILANDGAS,"Saint-Denis, Île-de-France",Full-Time,"['Maintenance', 'Qualité (Business)', 'Pneumatique', 'Mécanique', 'Travail', 'Domaine De Recherche']"
934,Full Stack Java Developer,OILANDGAS,"Pune, Maharashtra",Full-Time,"['Dependency Management', 'Git', 'Jenkins', 'Build Tools', 'Microservices', 'Html5']"
935,SQL Database Designer / Developer (Pipeline Requisition),OILANDGAS,"Quezon City, Metropolitan Manila",Full-Time,"['Visual Basic (Programming Language)', 'Sql (Programming Language)', '.Net Framework', 'Hyper Text Markup Language (Html)', 'C Sharp (Programming Language)', 'Asp.Net']"
936,Accounts Receivable Specialist (Pipeline Requisition),OILANDGAS,"Quezon City, Metropolitan Manila",Full-Time,"['Collections', 'Self Motivation', 'Accounting', 'Finance', 'Accounts Payable', 'Training']"
937,Site Accounting Leader (m/f/d),OILANDGAS,"Augsburg, Bavaria",Full-Time,"['Fixed Asset', 'Generally Accepted Accounting Principles', 'Accounts Payable', 'Balance Sheet', 'Accounts Receivable', 'Internal Controls']"
938,QC Inspector $27.83 hour to $30.13 hour,OILANDGAS,"Mansfield Center, Massachusetts",Full-Time,"['Visual Inspections', 'Magnetic Particle Inspections', 'Dye Penetrant Inspection', 'Level 2 Stocks', 'Non Destructive Testing (Ndt)', 'Assembling']"
939,CAD Drafter,OILANDGAS,"Estado de México, Campeche",Full-Time,"['3 D Modeling', 'Computer Aided Design', 'Dimensioning', 'Microsoft Excel', 'Communication', 'File Management']"
940,Procurement Engineer (Pipeline Requisition),OILANDGAS,"Quezon City, Metropolitan Manila",Full-Time,"['Process Improvements (Business)', 'Scheduling', 'Articles', 'Engineering', 'Documentation', 'Reports']"
941,Consumer Specialist (Pipeline Requisition),OILANDGAS,"Quezon City, Metropolitan Manila",Full-Time,"['Client Rapport', 'System Information', 'Interpersonal Skills', 'Communication', 'Mentorship', 'Leadership']"
942,Technicien de maintenance F/H,OILANDGAS,"Le Thillay, Île-de-France",Full-Time,"['Maintenance', 'Qualité (Business)', 'Pneumatique', 'Mécanique', 'Travail', 'Domaine De Recherche']"
943,Financial Analyst (Pipeline Requisition),OILANDGAS,"Quezon City, Metropolitan Manila",Full-Time,"['Financial Statements', 'Fixed Asset', 'Balance Sheet', 'Reconciliation', 'Income Statement', 'General Ledger']"
944,Senior Governance & Securities Administrator - Paralegal,OILANDGAS,"St. Louis, Missouri",Full-Time,"['Divestitures', 'Mergers And Acquisitions', 'Treasury', 'Management', 'Microsoft Excel', 'Certified Purchasing Professional']"
945,Controller - Selmsdorf,OILANDGAS,"Selmsdorf, Mecklenburg-Vorpommern",Full-Time,"['Hgb', 'United States Generally Accepted Accounting Principles', 'Microsoft Office', 'Buchhaltung', 'Gliederung Der Zubereitung Von Speisen', 'Personalbeschaffung']"
946,Customer Service Manager,OILANDGAS,"Mexico City, Distrito Federal",Full-Time,"['Customer Satisfaction', 'Customer Service', 'Sales', 'Operations Management']"
947,Payments Specialist (Pipeline Requisition),OILANDGAS,"Quezon City, Metropolitan Manila",Full-Time,"['Debits And Credits', 'General Ledger', 'Reconciliation', 'Accounts Payable', 'Accounting', 'Interpersonal Skills']"
948,Product Marketing Specialist,OILANDGAS,"Rosemont, Illinois",Full-Time,"['Marketing Communications', 'Product Marketing', 'Market Research', 'Marketing', 'Product Management', 'Sales']"
949,Strategic Sourcing Specialist,OILANDGAS,"Cluj-Napoca, Cluj",Full-Time,"['Procurement', 'Purchasing', 'Supply Chain Management', 'Microsoft Access', 'Creativity', 'Sourcing (Recruitment)']"
950,REQUEST MANAGER PRODUCT,OILANDGAS,"Eger, Heves",Full-Time,"['Self Motivation', 'Creativity', 'Engineering', 'Microsoft Excel', 'Microsoft Outlook', 'Microsoft Power Point']"
951,I&C Technician,Spencer Ogden - UK,Muscat,Contractor,"['Voltmeter', 'Wiring Diagram', 'Circuit Diagrams', 'Panel Building', 'Solenoid', 'Test Equipment']"
952,Collections Associate (Trainee),OILANDGAS,"Quezon City, Metropolitan Manila",Full-Time,"['Finance', 'Banking', 'Financial Services', 'Accounting', 'Accounts Receivable', 'Accounts Payable']"
953,Project Engineer/Sr. Project Engineer,OILANDGAS,"Sidney, Ohio",Full-Time,"['Thermodynamics', 'Fluid Mechanics', 'Team Working', 'Machinery Design', 'Critical Thinking', 'Mechanical Engineering']"
954,Technical Editor,OILANDGAS,"Pune, Maharashtra",Full-Time,"['Self Motivation', 'Release Notes', 'Documentation', 'Curiosity', 'Adobe Frame Maker', 'Grammars']"
955,Assembler B High Pressure- 1st Shift,OILANDGAS,"Elk River, Minnesota",Full-Time,"['Assembling', 'Torque (Physics)', 'Authorization (Medical)']"
956,"Installed Base Sales Engineer, PWS",OILANDGAS,"Seregno, Lombardia",Full-Time,"['Self Motivation', 'Business Acumen', 'Distributed Control Systems', 'Creativity', 'Market Trend', 'Customer Satisfaction']"
957,Talent Acquisition Coordinator,OILANDGAS,"San José de la Montaña, Heredia",Full-Time,"['Onboarding', 'Recruitment', 'Applicant Tracking Systems', 'Complex Problem Solving', 'Decision Making', 'Interpersonal Skills']"
958,Senior Mechanical Engineer,OILANDGAS,"Genoa, Liguria",Full-Time,"['Engineering', 'Scheduling', 'Mechanical Engineering', 'Thermal', 'Thermodynamics', 'Management']"
959,Senior Project Engineer,OILANDGAS,"Cluj-Napoca, Cluj",Full-Time,"['German Language', 'English Language', 'Romanian (Language)', 'French Languages', 'Computer Control Systems', 'Distributed Control Systems']"
960,Responsable de site monoposté - Site tertiaire F/H,OILANDGAS,"Gennevilliers, Île-de-France",Full-Time,"['Brevet De Technicien Supérieur', 'Formation', 'Génie Climatique', 'Proposition (Business)', 'Domaine (Microsoft)', 'Management']"
961,Technicien de maintenance CVC - Site tertiaire,OILANDGAS,"Colombes, Île-de-France",Full-Time,"['Brevet De Technicien Supérieur', 'Formation', 'Génie Climatique', 'Proposition (Business)', 'Domaine (Microsoft)', 'Management']"
962,Monteur Réseaux Raccordement et Branchement F/H,OILANDGAS,38 avenue de Vabre - 12000 Rodez,Full-Time,"['Chantier Naval', 'Travaux', 'Cap (Navigation)', 'Pose (Peinture/Sculpture)', 'Normes Privilège Et Role Management Infrastructure (Permis)', 'Baccalauréat Professionnel']"
963,Team Leader - Mining,OILANDGAS,"Mackay, Queensland",Full-Time,['Leadership']
